string,difficulty,SE,HoDoKu,print_date,day_of_week
9.01E+79,easy,1.2,304,2021-08-07,Saturday
2.00E+79,medium,2.3,516,2021-08-07,Saturday
6.00E+79,hard,2.3,690,2021-08-07,Saturday
6.81E+80,easy,1.2,304,2021-01-02,Saturday
3.00E+79,medium,3.4,930,2021-01-02,Saturday
2.90E+80,hard,2.3,720,2021-01-02,Saturday
6.01E+80,easy,1.2,310,2021-04-04,Sunday
1.00E+80,medium,2,670,2021-04-04,Sunday
2.97E+77,hard,2,580,2021-04-04,Sunday
8.15E+76,easy,1.2,310,2022-11-28,Monday
9.01E+72,medium,2.3,606,2022-11-28,Monday
5.00E+78,hard,2.3,660,2022-11-28,Monday
1.24E+80,easy,1.2,310,2023-12-05,Tuesday
4.06E+79,medium,2.3,504,2023-12-05,Tuesday
4.31E+80,hard,2.6,1096,2023-12-05,Tuesday
6.50E+80,easy,1.2,304,2021-02-20,Saturday
6.07E+74,medium,3.4,724,2021-02-20,Saturday
1.09E+72,hard,3,690,2021-02-20,Saturday
5.00E+79,easy,1.2,310,2022-06-15,Wednesday
1.06E+78,medium,2,526,2022-06-15,Wednesday
8.01E+76,hard,2.3,850,2022-06-15,Wednesday
5.40E+76,easy,1.2,304,2021-01-29,Friday
1.00E+80,medium,2.3,500,2021-01-29,Friday
3.80E+76,hard,2.3,620,2021-01-29,Friday
2.54E+80,easy,1.2,304,2021-03-06,Saturday
7.01E+79,medium,3.4,810,2021-03-06,Saturday
3.00E+79,hard,2.3,550,2021-03-06,Saturday
2.00E+78,easy,1.2,304,2023-08-25,Friday
9.20E+78,medium,2.3,520,2023-08-25,Friday
2.00E+80,hard,3.4,954,2023-08-25,Friday
2.03E+79,easy,1.2,304,2022-01-04,Tuesday
5.00E+79,medium,2,630,2022-01-04,Tuesday
9.40E+78,hard,2.3,590,2022-01-04,Tuesday
1.81E+77,easy,1.2,316,2022-05-01,Sunday
5.00E+78,medium,2.3,516,2022-05-01,Sunday
1.04E+80,hard,2.3,536,2022-05-01,Sunday
7.80E+80,easy,1.2,316,2021-03-13,Saturday
6.00E+78,medium,2.3,590,2021-03-13,Saturday
7.30E+80,hard,3.4,644,2021-03-13,Saturday
6.04E+80,easy,1.2,316,2021-01-06,Wednesday
3.71E+78,medium,2.3,556,2021-01-06,Wednesday
6.21E+80,hard,2.3,600,2021-01-06,Wednesday
4.71E+78,easy,1.2,310,2023-09-27,Wednesday
4.70E+76,medium,2.3,520,2023-09-27,Wednesday
9.01E+80,hard,3.4,790,2023-09-27,Wednesday
8.10E+79,easy,1.2,310,2023-05-03,Wednesday
1.23E+80,medium,2,526,2023-05-03,Wednesday
4.50E+78,hard,2.3,584,2023-05-03,Wednesday
5.60E+80,easy,1.2,310,2021-03-21,Sunday
2.65E+65,medium,2.3,490,2021-03-21,Sunday
8.90E+79,hard,3,630,2021-03-21,Sunday
8.05E+80,easy,1.2,310,2021-09-28,Tuesday
1.06E+72,medium,2.3,576,2021-09-28,Tuesday
8.07E+74,hard,2.3,600,2021-09-28,Tuesday
1.00E+80,easy,1.2,310,2021-04-14,Wednesday
1.00E+78,medium,2.3,590,2021-04-14,Wednesday
6.00E+79,hard,2.3,624,2021-04-14,Wednesday
4.58E+80,easy,1.2,304,2022-11-30,Wednesday
9.31E+80,medium,2,570,2022-11-30,Wednesday
2.06E+71,hard,3,614,2022-11-30,Wednesday
8.04E+79,easy,1.2,310,2021-05-07,Friday
9.30E+71,medium,3.4,796,2021-05-07,Friday
2.50E+79,hard,2.8,604,2021-05-07,Friday
8.72E+79,easy,1.2,304,2021-06-17,Thursday
8.00E+79,medium,2.3,734,2021-06-17,Thursday
3.50E+80,hard,3.4,1014,2021-06-17,Thursday
6.05E+79,easy,1.2,304,2023-09-19,Tuesday
9.00E+79,medium,3.4,792,2023-09-19,Tuesday
4.00E+76,hard,2.3,932,2023-09-19,Tuesday
2.00E+80,easy,1.2,304,2021-05-03,Monday
9.00E+67,medium,2.3,574,2021-05-03,Monday
5.00E+80,hard,2.3,530,2021-05-03,Monday
2.08E+80,easy,1.2,304,2021-06-07,Monday
4.00E+76,medium,2.3,560,2021-06-07,Monday
9.01E+75,hard,2.3,600,2021-06-07,Monday
2.00E+80,easy,1.2,310,2020-12-06,Sunday
7.05E+78,medium,2.3,546,2020-12-06,Sunday
7.20E+78,hard,2.3,554,2020-12-06,Sunday
5.07E+80,easy,1.2,304,2022-01-13,Thursday
6.04E+69,medium,2.3,576,2022-01-13,Thursday
3.96E+75,hard,2.3,666,2022-01-13,Thursday
9.00E+80,easy,1.2,304,2023-10-21,Saturday
4.00E+80,medium,2.3,600,2023-10-21,Saturday
6.00E+79,hard,2.3,690,2023-10-21,Saturday
4.10E+78,easy,1.2,310,2021-02-08,Monday
9.00E+77,medium,3.4,642,2021-02-08,Monday
6.00E+79,hard,2.3,810,2021-02-08,Monday
5.76E+79,easy,1.2,310,2021-02-02,Tuesday
7.40E+79,medium,3,940,2021-02-02,Tuesday
2.00E+79,hard,3.4,1186,2021-02-02,Tuesday
6.70E+80,easy,1.2,316,2021-06-04,Friday
7.00E+78,medium,2.3,596,2021-06-04,Friday
9.30E+78,hard,3.4,720,2021-06-04,Friday
6.08E+80,easy,1.2,304,2021-07-28,Wednesday
2.00E+73,medium,2.3,584,2021-07-28,Wednesday
5.01E+75,hard,2.3,536,2021-07-28,Wednesday
3.04E+79,easy,1.2,310,2021-05-14,Friday
5.90E+79,medium,2.3,660,2021-05-14,Friday
4.00E+76,hard,2.3,594,2021-05-14,Friday
4.61E+80,easy,1.2,316,2023-07-09,Sunday
4.01E+80,medium,3.4,672,2023-07-09,Sunday
4.00E+79,hard,3,574,2023-07-09,Sunday
8.32E+80,easy,1.2,304,2023-07-27,Thursday
5.04E+79,medium,2.3,514,2023-07-27,Thursday
6.00E+80,hard,2.3,570,2023-07-27,Thursday
2.68E+78,easy,1.2,304,2021-05-04,Tuesday
7.00E+79,medium,2.3,726,2021-05-04,Tuesday
5.60E+78,hard,2.3,634,2021-05-04,Tuesday
3.00E+80,easy,1.2,304,2023-11-26,Sunday
3.00E+77,medium,2.8,740,2023-11-26,Sunday
5.07E+74,hard,2.3,766,2023-11-26,Sunday
2.07E+78,easy,1.2,310,2021-04-09,Friday
8.00E+75,medium,2.3,914,2021-04-09,Friday
1.50E+75,hard,3.4,746,2021-04-09,Friday
3.20E+80,easy,1.2,304,2023-08-28,Monday
8.00E+80,medium,3.4,880,2023-08-28,Monday
2.04E+79,hard,4,1136,2023-08-28,Monday
3.01E+80,easy,1.2,304,2021-01-24,Sunday
9.00E+78,medium,2.3,580,2021-01-24,Sunday
2.00E+74,hard,3,656,2021-01-24,Sunday
4.77E+80,easy,1.2,310,2021-05-27,Thursday
1.00E+80,medium,1.9,500,2021-05-27,Thursday
1.00E+80,hard,2.3,604,2021-05-27,Thursday
8.03E+80,easy,1.2,304,2022-11-25,Friday
7.00E+79,medium,2.8,610,2022-11-25,Friday
2.00E+80,hard,2.3,650,2022-11-25,Friday
2.01E+79,easy,1.2,310,2023-08-26,Saturday
8.37E+75,medium,2.3,684,2023-08-26,Saturday
6.03E+78,hard,2.3,600,2023-08-26,Saturday
6.93E+80,easy,1.2,310,2022-03-05,Saturday
5.07E+75,medium,3.4,570,2022-03-05,Saturday
8.51E+80,hard,2.3,630,2022-03-05,Saturday
6.24E+80,easy,1.2,304,2023-01-22,Sunday
3.06E+80,medium,2.3,540,2023-01-22,Sunday
8.00E+71,hard,3,796,2023-01-22,Sunday
1.45E+79,easy,1.2,304,2023-08-29,Tuesday
1.70E+80,medium,2,536,2023-08-29,Tuesday
8.00E+79,hard,2.3,574,2023-08-29,Tuesday
3.96E+80,easy,1.2,304,2021-02-24,Wednesday
5.01E+79,medium,3.4,764,2021-02-24,Wednesday
5.08E+76,hard,2.3,556,2021-02-24,Wednesday
8.30E+80,easy,1.2,310,2021-10-19,Tuesday
3.50E+72,medium,2.3,516,2021-10-19,Tuesday
4.00E+73,hard,3,570,2021-10-19,Tuesday
8.02E+80,easy,1.2,310,2022-10-19,Wednesday
8.00E+79,medium,2.3,506,2022-10-19,Wednesday
6.41E+80,hard,3,660,2022-10-19,Wednesday
9.31E+80,easy,1.2,316,2021-12-30,Thursday
2.31E+79,medium,2.3,702,2021-12-30,Thursday
6.01E+74,hard,2.3,606,2021-12-30,Thursday
3.09E+79,easy,1.2,310,2021-02-12,Friday
6.50E+78,medium,2.3,656,2021-02-12,Friday
5.41E+77,hard,3.4,886,2021-02-12,Friday
6.51E+80,easy,1.2,316,2022-09-23,Friday
1.00E+78,medium,2.3,494,2022-09-23,Friday
6.09E+78,hard,2,536,2022-09-23,Friday
9.11E+80,easy,1.2,304,2023-10-05,Thursday
7.80E+76,medium,1.7,474,2023-10-05,Thursday
4.90E+74,hard,2.3,650,2023-10-05,Thursday
3.91E+80,easy,1.2,310,2023-06-19,Monday
3.00E+73,medium,2,504,2023-06-19,Monday
2.00E+78,hard,2,780,2023-06-19,Monday
4.50E+80,easy,1.2,304,2022-01-25,Tuesday
1.00E+76,medium,2.3,514,2022-01-25,Tuesday
1.09E+78,hard,3.4,864,2022-01-25,Tuesday
5.21E+79,easy,1.2,304,2022-07-15,Friday
6.07E+80,medium,2,520,2022-07-15,Friday
4.00E+80,hard,2.3,726,2022-07-15,Friday
5.01E+80,easy,1.2,310,2021-06-27,Sunday
6.00E+80,medium,2.3,510,2021-06-27,Sunday
2.00E+78,hard,2,780,2021-06-27,Sunday
6.28E+80,easy,1.2,304,2023-09-09,Saturday
6.10E+79,medium,3.4,746,2023-09-09,Saturday
6.00E+73,hard,3.4,910,2023-09-09,Saturday
2.07E+78,easy,1.2,310,2021-04-09,Friday
8.00E+75,medium,2.3,914,2021-04-09,Friday
1.50E+75,hard,3.4,746,2021-04-09,Friday
2.01E+80,easy,1.2,310,2023-07-16,Sunday
9.50E+79,medium,3.4,826,2023-07-16,Sunday
4.23E+79,hard,2.3,636,2023-07-16,Sunday
5.30E+79,easy,1.2,316,2021-04-02,Friday
4.60E+77,medium,3.4,706,2021-04-02,Friday
3.00E+79,hard,2.3,574,2021-04-02,Friday
2.10E+79,easy,1.2,310,2023-08-27,Sunday
4.01E+76,medium,2.3,514,2023-08-27,Sunday
6.21E+80,hard,2.3,600,2023-08-27,Sunday
7.10E+80,easy,1.2,304,2021-01-31,Sunday
1.06E+79,medium,2.3,650,2021-01-31,Sunday
8.00E+79,hard,3.4,930,2021-01-31,Sunday
2.00E+80,easy,1.2,304,2021-05-03,Monday
9.00E+67,medium,2.3,574,2021-05-03,Monday
5.00E+80,hard,2.3,530,2021-05-03,Monday
2.91E+79,easy,1.2,310,2021-01-27,Wednesday
8.00E+74,medium,2.3,536,2021-01-27,Wednesday
9.08E+78,hard,3,560,2021-01-27,Wednesday
4.35E+79,easy,1.2,322,2021-08-08,Sunday
5.01E+79,medium,3.4,596,2021-08-08,Sunday
7.01E+70,hard,2.3,590,2021-08-08,Sunday
4.25E+80,easy,1.2,316,2021-10-24,Sunday
5.00E+77,medium,2,504,2021-10-24,Sunday
7.01E+76,hard,2.3,574,2021-10-24,Sunday
6.24E+78,easy,1.2,304,2021-02-23,Tuesday
4.00E+77,medium,2.3,514,2021-02-23,Tuesday
8.00E+76,hard,2.3,534,2021-02-23,Tuesday
8.69E+80,easy,1.2,310,2023-10-27,Friday
7.01E+75,medium,2,564,2023-10-27,Friday
4.70E+80,hard,2.3,590,2023-10-27,Friday
4.72E+80,easy,1.2,310,2022-01-20,Thursday
1.80E+78,medium,2.3,474,2022-01-20,Thursday
5.01E+76,hard,1.9,496,2022-01-20,Thursday
1.21E+79,easy,1.2,310,2021-04-01,Thursday
2.30E+75,medium,3,580,2021-04-01,Thursday
4.00E+76,hard,3.4,694,2021-04-01,Thursday
4.00E+80,easy,1.2,310,2021-04-30,Friday
2.30E+67,medium,2,514,2021-04-30,Friday
9.00E+79,hard,3.4,846,2021-04-30,Friday
9.60E+80,easy,1.2,304,2022-08-23,Tuesday
8.37E+75,medium,2.3,684,2022-08-23,Tuesday
5.00E+80,hard,3.4,584,2022-08-23,Tuesday
1.81E+78,easy,1.2,310,2021-01-11,Monday
8.40E+80,medium,2,536,2021-01-11,Monday
7.03E+75,hard,3,986,2021-01-11,Monday
4.61E+79,easy,1.2,304,2023-10-09,Monday
1.00E+77,medium,3,650,2023-10-09,Monday
4.00E+79,hard,2.3,620,2023-10-09,Monday
8.53E+80,easy,1.2,310,2021-11-05,Friday
8.50E+77,medium,3.4,680,2021-11-05,Friday
3.00E+77,hard,2.3,526,2021-11-05,Friday
8.11E+80,easy,1.2,310,2023-03-11,Saturday
3.07E+79,medium,2,544,2023-03-11,Saturday
2.00E+80,hard,2.3,530,2023-03-11,Saturday
7.00E+80,easy,1.2,310,2021-03-15,Monday
7.90E+78,medium,2.3,526,2021-03-15,Monday
3.00E+78,hard,3.4,944,2021-03-15,Monday
2.51E+79,easy,1.2,304,2021-06-01,Tuesday
7.10E+78,medium,2,530,2021-06-01,Tuesday
9.06E+78,hard,2.8,944,2021-06-01,Tuesday
9.11E+80,easy,1.2,304,2021-10-15,Friday
3.60E+80,medium,2.3,500,2021-10-15,Friday
7.00E+74,hard,2.3,526,2021-10-15,Friday
7.34E+80,easy,1.2,310,2021-09-19,Sunday
1.00E+78,medium,2.3,526,2021-09-19,Sunday
6.00E+76,hard,2.8,716,2021-09-19,Sunday
3.91E+80,easy,1.2,316,2023-11-29,Wednesday
2.01E+77,medium,2.3,646,2023-11-29,Wednesday
9.04E+77,hard,2.3,650,2023-11-29,Wednesday
8.20E+79,easy,1.2,310,2023-12-01,Friday
7.00E+79,medium,3,516,2023-12-01,Friday
7.03E+78,hard,3.4,590,2023-12-01,Friday
6.81E+80,easy,1.2,310,2023-07-07,Friday
4.00E+79,medium,2.3,542,2023-07-07,Friday
2.05E+79,hard,3,570,2023-07-07,Friday
5.64E+80,easy,1.2,304,2023-11-20,Monday
7.80E+78,medium,2.3,736,2023-11-20,Monday
1.00E+80,hard,3.4,580,2023-11-20,Monday
7.01E+80,easy,1.2,304,2020-12-29,Tuesday
3.90E+79,medium,2,540,2020-12-29,Tuesday
1.30E+78,hard,3,1120,2020-12-29,Tuesday
3.01E+77,easy,1.2,304,2021-03-26,Friday
3.51E+75,medium,2.3,536,2021-03-26,Friday
4.00E+80,hard,2,706,2021-03-26,Friday
9.17E+79,easy,1.2,304,2021-01-07,Thursday
2.06E+79,medium,2,530,2021-01-07,Thursday
3.07E+80,hard,3,494,2021-01-07,Thursday
4.00E+80,easy,1.2,304,2020-12-11,Friday
9.00E+72,medium,2.3,514,2020-12-11,Friday
2.00E+80,hard,2.3,704,2020-12-11,Friday
8.10E+78,easy,1.2,310,2022-05-12,Thursday
3.49E+79,medium,2.3,580,2022-05-12,Thursday
8.02E+69,hard,2.3,510,2022-05-12,Thursday
5.60E+80,easy,1.2,310,2021-03-30,Tuesday
8.00E+80,medium,2.3,580,2021-03-30,Tuesday
5.00E+78,hard,2.8,674,2021-03-30,Tuesday
1.58E+80,easy,1.2,316,2023-05-06,Saturday
3.00E+76,medium,2.3,520,2023-05-06,Saturday
6.06E+80,hard,3.4,880,2023-05-06,Saturday
4.50E+79,easy,1.2,316,2022-07-19,Tuesday
6.04E+73,medium,2.3,650,2022-07-19,Tuesday
4.00E+77,hard,2.3,536,2022-07-19,Tuesday
8.09E+80,easy,1.2,304,2022-12-02,Friday
3.06E+66,medium,2,632,2022-12-02,Friday
6.00E+80,hard,2.3,780,2022-12-02,Friday
9.03E+79,easy,1.2,310,2021-01-16,Saturday
6.00E+77,medium,2,610,2021-01-16,Saturday
7.00E+78,hard,3.4,730,2021-01-16,Saturday
3.01E+80,easy,1.2,304,2021-01-24,Sunday
9.00E+78,medium,2.3,580,2021-01-24,Sunday
2.00E+74,hard,3,656,2021-01-24,Sunday
9.21E+78,easy,1.2,304,2022-05-23,Monday
2.05E+74,medium,3.4,640,2022-05-23,Monday
1.39E+78,hard,2.5,860,2022-05-23,Monday
5.04E+80,easy,1.2,304,2021-01-18,Monday
7.00E+80,medium,3,844,2021-01-18,Monday
2.81E+78,hard,2.5,590,2021-01-18,Monday
7.53E+78,easy,1.2,310,2023-03-25,Saturday
6.02E+78,medium,2.3,522,2023-03-25,Saturday
2.10E+77,hard,3.4,1014,2023-03-25,Saturday
1.59E+80,easy,1.2,304,2021-05-05,Wednesday
6.09E+79,medium,2,524,2021-05-05,Wednesday
7.09E+75,hard,2.8,704,2021-05-05,Wednesday
2.08E+79,easy,1.2,316,2021-04-15,Thursday
1.06E+79,medium,2.3,714,2021-04-15,Thursday
4.00E+80,hard,2.8,838,2021-04-15,Thursday
2.02E+80,easy,1.2,316,2021-09-21,Tuesday
1.05E+75,medium,2.3,534,2021-09-21,Tuesday
7.01E+77,hard,2.3,510,2021-09-21,Tuesday
3.08E+79,easy,1.2,304,2023-04-05,Wednesday
5.00E+79,medium,2.8,830,2023-04-05,Wednesday
5.60E+78,hard,2.3,634,2023-04-05,Wednesday
